template page,Line Code,Category,Internal Description,Include,Unit Cost,Unit,Total Cost,Summed_Totals,Dimension,description (title),Calculations,Description (notes),Description (additional guidance),Description5
13,sd103@,Sliding Doors,Sliding Doors  - 2m x 2.1 83mm ,N,"£7,000.00",1.00,"7,000.00",0,,,,Sliding Doors  - 2m x 2.1 83mm ,,
13,sd104@,Sliding Doors,Sliding Doors  - 2m x 2.1 47mm ,N,"£7,600.00",1.00,"7,600.00",0,,,,Sliding Doors  - 2m x 2.1 47mm ,,
13,sd105@,Sliding Doors,Sliding Doors  - 2m x 2.1 20mm ,N,"£8,000.00",1.00,"8,000.00",0,,,,Sliding Doors  - 2m x 2.1 20mm ,,
13,sd106@,Sliding Doors,Sliding Doors  - 1.3 x 2.1 Crittal French Door ,N,"£4,320.00",1.00,"4,320.00",0,,,,Sliding Doors  - 1.3 x 2.1 Crittal French Door ,,
13,sd107@,Sliding Doors,Sliding Doors  - 1.4 x 2.1 Crittal French Door ,N,"£4,620.00",1.00,"4,620.00",0,,,,Sliding Doors  - 1.4 x 2.1 Crittal French Door ,,
13,sd108@,Sliding Doors,Sliding Doors  - 2.3 x 2.1 Crittal French Door with Side Panels ,N,"£6,000.00",1.00,"6,000.00",0,,,,Sliding Doors  - 2.3 x 2.1 Crittal French Door with Side Panels ,,
13,sd109@,Sliding Doors,Sliding Doors  - Ultra slim sliding doors 2.8m x 2.3 ,N,"£10,302.00",1.00,"10,302.00",0,,,,Sliding Doors  - Ultra slim sliding doors 2.8m x 2.3 ,,
13,sd110@,Sliding Doors,Angled glass panel  1.1m 2.5m ,N,"£3,840.00",1.00,"3,840.00",0,,,,Angled glass panel  1.1m 2.5m ,,
,img12,image ,sliding doors (image 1),Y,,,,0,,https://drive.google.com/uc?export=view&id=1vnbTVLREtp8nh90DbUxM44ZoFu0uNk9-,,,,
,img13,image ,sliding doors (image 2),N,,,,0,,,,,,
,img14,image ,sliding doors (image 3),N,,,,0,,,,,,
totals,si_total#,Totals,standard item total,Y,,,,,,"£6,760.00",6760,,,
totals,pl_total#,Totals,plumbing total,Y,,,,,,"£1,200.00",1200,,,
totals,bw_total#,Totals,building works total,Y,,,,,,"£26,600.00",26600,,,
